,wilayah,waktu,cuaca,kelembaban_persen,suhu_derajat_celcius,BanyakKotaRawan
69,Kepulauan Seribu,Pagi,Hujan Ringan,70-95,21-33,0
70,Jakarta Pusat,Siang,Hujan Ringan,70-95,21-33,2
71,Jakarta Barat,Pagi,Berawan,70-95,21-33,17
72,Jakarta Barat,Siang,Hujan Sedang,75-100,22-32,17
73,Jakarta Timur,Malam,Hujan Ringan,75-100,22-32,23
74,Jakarta Barat,Malam,Hujan Sedang,75-100,22-32,17
75,Jakarta Selatan,Malam,Hujan Ringan,75-100,22-32,25
76,Jakarta Utara,Malam,Hujan Ringan,75-100,22-32,15
77,Jakarta Pusat,Malam,Hujan Ringan,75-100,22-32,2
78,Kepulauan Seribu,Siang,Hujan Ringan,75-100,22-32,0
79,Jakarta Timur,Siang,Hujan Sedang,75-100,22-32,23
80,Kepulauan Seribu,Malam,Hujan Ringan,75-100,22-32,0
81,Jakarta Selatan,Siang,Hujan Sedang,75-100,22-32,25
82,Jakarta Pusat,Siang,Hujan Ringan,75-100,22-32,2
83,Kepulauan Seribu,Pagi,Hujan Ringan,75-100,22-32,0
84,Jakarta Timur,Pagi,Berawan,75-100,22-32,23
85,Jakarta Barat,Pagi,Berawan,75-100,22-32,17
86,Jakarta Selatan,Pagi,Berawan,75-100,22-32,25
87,Jakarta Utara,Pagi,Berawan,75-100,22-32,15
88,Jakarta Pusat,Pagi,Berawan,75-100,22-32,2
89,Jakarta Utara,Siang,Hujan Ringan,75-100,22-32,15
90,Kepulauan Seribu,Siang,Hujan Ringan,65-97,22-32,0
91,Jakarta Pusat,Malam,Hujan Ringan,65-97,22-32,2
92,Jakarta Utara,Malam,Hujan Ringan,65-97,22-32,15
93,Kepulauan Seribu,Malam,Hujan Ringan,65-97,22-32,0
94,Jakarta Barat,Malam,Hujan Sedang,65-97,22-32,17
95,Jakarta Timur,Malam,Hujan Ringan,65-97,22-32,23
96,Jakarta Timur,Siang,Hujan Sedang,65-97,22-32,23
97,Jakarta Selatan,Malam,Hujan Ringan,65-97,22-32,25
98,Jakarta Barat,Siang,Hujan Sedang,65-97,22-32,17
99,Jakarta Utara,Siang,Hujan Ringan,65-97,22-32,15
100,Jakarta Selatan,Siang,Hujan Sedang,65-97,22-32,25
101,Jakarta Pusat,Siang,Hujan Ringan,65-97,22-32,2
102,Kepulauan Seribu,Pagi,Hujan Ringan,65-97,22-32,0
103,Jakarta Timur,Pagi,Berawan,65-97,22-32,23
104,Jakarta Barat,Pagi,Berawan,65-97,22-32,17
105,Jakarta Selatan,Pagi,Berawan,65-97,22-32,25
106,Jakarta Utara,Pagi,Berawan,65-97,22-32,15
107,Jakarta Pusat,Pagi,Berawan,65-97,22-32,2
108,Jakarta Selatan,Malam,Hujan Petir,65-95,23-33,25
109,Jakarta Barat,Malam,Hujan Petir,65-95,23-33,17
110,Jakarta Timur,Malam,Hujan Lokal,65-95,23-33,23
111,Kepulauan Seribu,Malam,Hujan Lokal,65-95,23-33,0
112,Jakarta Pusat,Dini Hari,Hujan Lokal,65-95,23-33,2
113,Jakarta Timur,Dini Hari,Hujan Lokal,65-95,23-33,23
114,Jakarta Selatan,Dini Hari,Hujan Lokal,65-95,23-33,25
115,Jakarta Barat,Dini Hari,Hujan Petir,65-95,23-33,17
116,Jakarta Utara,Malam,Hujan Lokal,65-95,23-33,15
117,Kepulauan Seribu,Dini Hari,Hujan Lokal,65-95,23-33,0
118,Jakarta Utara,Dini Hari,Hujan Lokal,65-95,23-33,15
119,Jakarta Pusat,Malam,Hujan Petir,65-95,23-33,2
120,Kepulauan Seribu,Siang,Hujan Lokal,65-95,23-33,0
121,Jakarta Timur,Siang,Hujan Lokal,65-95,23-33,23
122,Jakarta Selatan,Siang,Hujan Lokal,65-95,23-33,25
123,Jakarta Utara,Siang,Hujan Lokal,65-95,23-33,15
124,Jakarta Pusat,Siang,Hujan Lokal,65-95,23-33,2
125,Kepulauan Seribu,Pagi,Berawan Tebal,65-95,23-33,0
126,Jakarta Timur,Pagi,Berawan Tebal,65-95,23-33,23
127,Jakarta Barat,Pagi,Berawan Tebal,65-95,23-33,17
128,Jakarta Selatan,Pagi,Hujan Lokal,65-95,23-33,25
129,Jakarta Utara,Pagi,Berawan Tebal,65-95,23-33,15
130,Jakarta Pusat,Pagi,Berawan Tebal,65-95,23-33,2
131,Jakarta Barat,Siang,Hujan Lokal,65-95,23-33,17
132,Jakarta Selatan,Malam,Hujan Sedang,60-95,24-32,25
133,Jakarta Utara,Malam,Hujan Ringan,60-95,24-32,15
134,Kepulauan Seribu,Siang,Hujan Ringan,60-95,24-32,0
135,Jakarta Barat,Malam,Hujan Ringan,60-95,24-32,17
136,Kepulauan Seribu,Malam,Hujan Ringan,60-95,24-32,0
137,Jakarta Timur,Siang,Hujan Sedang,60-95,24-32,23
138,Jakarta Timur,Malam,Hujan Ringan,60-95,24-32,23
139,Jakarta Barat,Siang,Hujan Sedang,60-95,24-32,17
140,Jakarta Pusat,Malam,Hujan Ringan,60-95,24-32,2
141,Jakarta Utara,Siang,Hujan Ringan,60-95,24-32,15
142,Jakarta Selatan,Siang,Hujan Sedang,60-95,24-32,25
143,Jakarta Utara,Pagi,Berawan,60-95,24-32,15
144,Jakarta Selatan,Pagi,Berawan,60-95,24-32,25
145,Jakarta Barat,Pagi,Berawan,60-95,24-32,17
146,Jakarta Pusat,Pagi,Berawan,60-95,24-32,2
147,Kepulauan Seribu,Pagi,Hujan Ringan,60-95,24-32,0
148,Jakarta Pusat,Siang,Hujan Ringan,60-95,24-32,2
149,Jakarta Timur,Pagi,Berawan,60-95,24-32,23
150,Kepulauan Seribu,Malam,Cerah Berawan,80-95,22-33,0
151,Jakarta Timur,Siang,Hujan Ringan,80-95,22-33,23
152,Jakarta Timur,Malam,Berawan,80-95,22-33,23
153,Jakarta Barat,Malam,Berawan,80-95,22-33,17
154,Jakarta Utara,Malam,Berawan,80-95,22-33,15
155,Jakarta Pusat,Malam,Berawan,80-95,22-33,2
156,Kepulauan Seribu,Siang,Hujan Ringan,80-95,22-33,0
157,Jakarta Barat,Siang,Hujan Ringan,80-95,22-33,17
158,Jakarta Selatan,Malam,Berawan,80-95,22-33,25
159,Jakarta Utara,Siang,Hujan Ringan,80-95,22-33,15
160,Jakarta Pusat,Siang,Hujan Ringan,80-95,22-33,2
161,Kepulauan Seribu,Pagi,Hujan Sedang,80-95,22-33,0
162,Jakarta Timur,Pagi,Hujan Ringan,80-95,22-33,23
163,Jakarta Barat,Pagi,Hujan Ringan,80-95,22-33,17
164,Jakarta Selatan,Pagi,Hujan Ringan,80-95,22-33,25
165,Jakarta Utara,Pagi,Hujan Ringan,80-95,22-33,15
166,Jakarta Pusat,Pagi,Hujan Ringan,80-95,22-33,2
167,Jakarta Selatan,Siang,Hujan Ringan,80-95,22-33,25
168,Kepulauan Seribu,Siang,Berawan Tebal,60-95,24-34,0
169,Jakarta Pusat,Malam,Berawan,60-95,24-34,2
170,Jakarta Utara,Malam,Berawan,60-95,24-34,15
171,Kepulauan Seribu,Malam,Hujan Ringan,60-95,24-34,0
172,Jakarta Barat,Malam,Berawan,60-95,24-34,17
173,Jakarta Timur,Malam,Berawan,60-95,24-34,23
174,Jakarta Timur,Siang,Berawan Tebal,60-95,24-34,23
175,Jakarta Selatan,Malam,Berawan,60-95,24-34,25
176,Jakarta Barat,Siang,Berawan Tebal,60-95,24-34,17
177,Kepulauan Seribu,Pagi,Hujan Ringan,60-95,24-34,0
178,Jakarta Utara,Siang,Berawan Tebal,60-95,24-34,15
179,Jakarta Pusat,Siang,Berawan Tebal,60-95,24-34,2
180,Jakarta Timur,Pagi,Berawan,60-95,24-34,23
181,Jakarta Barat,Pagi,Berawan,60-95,24-34,17
182,Jakarta Selatan,Pagi,Berawan,60-95,24-34,25
183,Jakarta Utara,Pagi,Berawan Tebal,60-95,24-34,15
184,Jakarta Pusat,Pagi,Berawan Tebal,60-95,24-34,2
185,Jakarta Selatan,Siang,Berawan Tebal,60-95,24-34,25
186,Jakarta Pusat,Malam,Berawan Tebal,85-100,22-30,2
187,Kepulauan Seribu,Siang,Hujan Ringan,85-100,22-30,0
188,Jakarta Utara,Malam,Berawan Tebal,85-100,22-30,15
189,Jakarta Timur,Siang,Hujan Petir,85-100,22-30,23
190,Jakarta Barat,Malam,Hujan Lokal,85-100,22-30,17
192,Kepulauan Seribu,Malam,Hujan Lokal,85-100,22-30,0
193,Jakarta Selatan,Malam,Hujan Lokal,85-100,22-30,25
194,Jakarta Barat,Siang,Hujan Petir,85-100,22-30,17
195,Jakarta Selatan,Siang,Hujan Petir,85-100,22-30,25
196,Jakarta Utara,Siang,Hujan Ringan,85-100,22-30,15
197,Jakarta Pusat,Siang,Hujan Sedang,85-100,22-30,2
198,Kepulauan Seribu,Pagi,Hujan Lokal,85-100,22-30,0
199,Jakarta Timur,Pagi,Hujan Lokal,85-100,22-30,23
200,Jakarta Barat,Pagi,Hujan Lokal,85-100,22-30,17
201,Jakarta Selatan,Pagi,Hujan Lokal,85-100,22-30,25
202,Jakarta Utara,Pagi,Hujan Ringan,85-100,22-30,15
203,Jakarta Pusat,Pagi,Hujan Lokal,85-100,22-30,2
204,Kepulauan Seribu,Siang,Hujan Ringan,60-100,22-33,0
205,Jakarta Pusat,Malam,Cerah Berawan,60-100,22-33,2
206,Jakarta Utara,Malam,Cerah Berawan,60-100,22-33,15
207,Kepulauan Seribu,Malam,Hujan Lokal,60-100,22-33,0
208,Jakarta Barat,Malam,Cerah Berawan,60-100,22-33,17
209,Jakarta Timur,Malam,Cerah Berawan,60-100,22-33,23
210,Jakarta Timur,Siang,Hujan Ringan,60-100,22-33,23
211,Jakarta Selatan,Malam,Cerah Berawan,60-100,22-33,25
212,Jakarta Barat,Siang,Hujan Sedang,60-100,22-33,17
213,Jakarta Selatan,Siang,Hujan Sedang,60-100,22-33,25
214,Jakarta Utara,Siang,Hujan Ringan,60-100,22-33,15
215,Jakarta Pusat,Siang,Hujan Ringan,60-100,22-33,2
216,Kepulauan Seribu,Pagi,Hujan Petir,60-100,22-33,0
217,Jakarta Timur,Pagi,Berawan,60-100,22-33,23
218,Jakarta Barat,Pagi,Hujan Lokal,60-100,22-33,17
219,Jakarta Selatan,Pagi,Hujan Lokal,60-100,22-33,25
220,Jakarta Utara,Pagi,Berawan,60-100,22-33,15
221,Jakarta Pusat,Pagi,Berawan,60-100,22-33,2
222,Jakarta Timur,Malam,Hujan Ringan,60-95,22-32,23
223,Jakarta Barat,Malam,Hujan Sedang,60-95,22-32,17
224,Jakarta Selatan,Malam,Hujan Ringan,60-95,22-32,25
225,Jakarta Utara,Malam,Hujan Ringan,60-95,22-32,15
226,Jakarta Pusat,Malam,Hujan Ringan,60-95,22-32,2
227,Kepulauan Seribu,Siang,Hujan Ringan,60-95,22-32,0
228,Jakarta Timur,Siang,Hujan Sedang,60-95,22-32,23
229,Jakarta Barat,Siang,Hujan Sedang,60-95,22-32,17
230,Kepulauan Seribu,Malam,Hujan Ringan,60-95,22-32,0
231,Jakarta Utara,Siang,Hujan Ringan,60-95,22-32,15
232,Jakarta Pusat,Pagi,Berawan,60-95,22-32,2
233,Jakarta Utara,Pagi,Berawan,60-95,22-32,15
234,Jakarta Selatan,Pagi,Berawan,60-95,22-32,25
235,Jakarta Selatan,Siang,Hujan Sedang,60-95,22-32,25
236,Jakarta Timur,Pagi,Berawan,60-95,22-32,23
237,Kepulauan Seribu,Pagi,Hujan Ringan,60-95,22-32,0
238,Jakarta Pusat,Siang,Hujan Ringan,60-95,22-32,2
239,Jakarta Barat,Pagi,Berawan,60-95,22-32,17
240,Jakarta Timur,Siang,Hujan Ringan,55-95,22-32,23
241,Jakarta Timur,Malam,Berawan Tebal,55-95,22-32,23
242,Jakarta Barat,Malam,Berawan Tebal,55-95,22-32,17
243,Jakarta Selatan,Malam,Berawan Tebal,55-95,22-32,25
244,Jakarta Utara,Malam,Berawan Tebal,55-95,22-32,15
245,Jakarta Pusat,Malam,Berawan Tebal,55-95,22-32,2
246,Kepulauan Seribu,Siang,Hujan Sedang,55-95,22-32,0
247,Jakarta Barat,Siang,Hujan Sedang,55-95,22-32,17
248,Kepulauan Seribu,Malam,Berawan Tebal,55-95,22-32,0
249,Jakarta Utara,Siang,Hujan Petir,55-95,22-32,15
250,Jakarta Pusat,Pagi,Berawan Tebal,55-95,22-32,2
251,Jakarta Utara,Pagi,Hujan Ringan,55-95,22-32,15
252,Jakarta Selatan,Pagi,Berawan,55-95,22-32,25
253,Jakarta Selatan,Siang,Hujan Ringan,55-95,22-32,25
254,Jakarta Timur,Pagi,Berawan,55-95,22-32,23
255,Kepulauan Seribu,Pagi,Hujan Ringan,55-95,22-32,0
256,Jakarta Pusat,Siang,Hujan Sedang,55-95,22-32,2
257,Jakarta Barat,Pagi,Berawan Tebal,55-95,22-32,17
258,Jakarta Barat,Siang,Hujan Sedang,60-95,22-32,17
259,Jakarta Timur,Malam,Hujan Ringan,60-95,22-32,23
260,Jakarta Barat,Malam,Hujan Sedang,60-95,22-32,17
261,Jakarta Selatan,Malam,Hujan Ringan,60-95,22-32,25
262,Jakarta Utara,Malam,Hujan Ringan,60-95,22-32,15
263,Jakarta Pusat,Malam,Hujan Ringan,60-95,22-32,2
264,Kepulauan Seribu,Siang,Hujan Ringan,60-95,22-32,0
265,Jakarta Timur,Siang,Hujan Sedang,60-95,22-32,23
266,Kepulauan Seribu,Malam,Hujan Ringan,60-95,22-32,0
267,Jakarta Selatan,Siang,Hujan Sedang,60-95,22-32,25
268,Jakarta Pusat,Siang,Hujan Ringan,60-95,22-32,2
269,Kepulauan Seribu,Pagi,Hujan Ringan,60-95,22-32,0
270,Jakarta Timur,Pagi,Berawan,60-95,22-32,23
271,Jakarta Barat,Pagi,Berawan,60-95,22-32,17
272,Jakarta Selatan,Pagi,Berawan,60-95,22-32,25
273,Jakarta Utara,Pagi,Berawan,60-95,22-32,15
274,Jakarta Pusat,Pagi,Berawan,60-95,22-32,2
275,Jakarta Utara,Siang,Hujan Ringan,60-95,22-32,15
276,Jakarta Timur,Siang,Hujan Lokal,65-90,22-33,23
277,Kepulauan Seribu,Malam,Hujan Ringan,65-90,22-33,0
278,Jakarta Barat,Malam,Hujan Lokal,65-90,22-33,17
279,Jakarta Selatan,Malam,Hujan Ringan,65-90,22-33,25
280,Jakarta Utara,Malam,Berawan Tebal,65-90,22-33,15
281,Jakarta Pusat,Malam,Berawan Tebal,65-90,22-33,2
282,Kepulauan Seribu,Siang,Hujan Ringan,65-90,22-33,0
283,Jakarta Barat,Siang,Hujan Lokal,65-90,22-33,17
284,Jakarta Timur,Malam,Hujan Ringan,65-90,22-33,23
285,Jakarta Utara,Siang,Hujan Ringan,65-90,22-33,15
286,Jakarta Selatan,Siang,Hujan Lokal,65-90,22-33,25
287,Jakarta Utara,Pagi,Berawan Tebal,65-90,22-33,15
288,Jakarta Selatan,Pagi,Hujan Lokal,65-90,22-33,25
289,Jakarta Pusat,Pagi,Berawan Tebal,65-90,22-33,2
290,Jakarta Timur,Pagi,Hujan Lokal,65-90,22-33,23
291,Kepulauan Seribu,Pagi,Hujan Ringan,65-90,22-33,0
292,Jakarta Pusat,Siang,Hujan Lokal,65-90,22-33,2
293,Jakarta Barat,Pagi,Berawan Tebal,65-90,22-33,17
294,Jakarta Timur,Siang,Hujan Ringan,75-90,21-33,23
295,Kepulauan Seribu,Malam,Hujan Ringan,75-90,21-33,0
296,Jakarta Timur,Malam,Hujan Ringan,75-90,21-33,23
297,Jakarta Barat,Malam,Hujan Ringan,75-90,21-33,17
298,Jakarta Selatan,Malam,Hujan Ringan,75-90,21-33,25
299,Jakarta Utara,Malam,Hujan Sedang,75-90,21-33,15
300,Jakarta Pusat,Malam,Hujan Ringan,75-90,21-33,2
301,Kepulauan Seribu,Siang,Hujan Lokal,75-90,21-33,0
302,Jakarta Barat,Siang,Hujan Lokal,75-90,21-33,17
303,Jakarta Selatan,Siang,Hujan Lokal,75-90,21-33,25
304,Jakarta Utara,Siang,Hujan Ringan,75-90,21-33,15
305,Jakarta Pusat,Siang,Hujan Ringan,75-90,21-33,2
306,Kepulauan Seribu,Pagi,Hujan Sedang,75-90,21-33,0
307,Jakarta Timur,Pagi,Hujan Sedang,75-90,21-33,23
308,Jakarta Barat,Pagi,Hujan Sedang,75-90,21-33,17
309,Jakarta Selatan,Pagi,Hujan Ringan,75-90,21-33,25
310,Jakarta Utara,Pagi,Hujan Ringan,75-90,21-33,15
311,Jakarta Pusat,Pagi,Hujan Sedang,75-90,21-33,2
312,Kepulauan Seribu,Siang,Hujan Lokal,55-95,21-32,0
313,Jakarta Pusat,Malam,Berawan,55-95,21-32,2
314,Jakarta Utara,Malam,Hujan Lokal,55-95,21-32,15
315,Kepulauan Seribu,Malam,Hujan Lokal,55-95,21-32,0
316,Jakarta Barat,Malam,Berawan,55-95,21-32,17
317,Jakarta Timur,Malam,Berawan,55-95,21-32,23
318,Jakarta Timur,Siang,Berawan,55-95,21-32,23
319,Jakarta Selatan,Malam,Berawan,55-95,21-32,25
320,Jakarta Barat,Siang,Berawan,55-95,21-32,17
321,Jakarta Utara,Pagi,Berawan Tebal,55-95,21-32,15
322,Jakarta Utara,Siang,Berawan Tebal,55-95,21-32,15
323,Jakarta Pusat,Siang,Berawan Tebal,55-95,21-32,2
324,Kepulauan Seribu,Pagi,Hujan Lokal,55-95,21-32,0
325,Jakarta Timur,Pagi,Berawan,55-95,21-32,23
326,Jakarta Barat,Pagi,Berawan,55-95,21-32,17
327,Jakarta Selatan,Pagi,Berawan,55-95,21-32,25
328,Jakarta Pusat,Pagi,Berawan,55-95,21-32,2
329,Jakarta Selatan,Siang,Berawan,55-95,21-32,25
330,Jakarta Selatan,Malam,Berawan,60-95,21-33,25
331,Jakarta Barat,Malam,Berawan,60-95,21-33,17
332,Kepulauan Seribu,Dini Hari,Hujan Lokal,60-95,21-33,0
333,Jakarta Timur,Malam,Berawan,60-95,21-33,23
334,Kepulauan Seribu,Malam,Hujan Lokal,60-95,21-33,0
335,Jakarta Barat,Dini Hari,Hujan Lokal,60-95,21-33,17
336,Jakarta Utara,Dini Hari,Hujan Lokal,60-95,21-33,15
337,Jakarta Selatan,Dini Hari,Hujan Lokal,60-95,21-33,25
338,Jakarta Timur,Dini Hari,Hujan Lokal,60-95,21-33,23
339,Jakarta Utara,Malam,Hujan Lokal,60-95,21-33,15
340,Jakarta Pusat,Dini Hari,Hujan Lokal,60-95,21-33,2
341,Jakarta Pusat,Malam,Berawan,60-95,21-33,2
342,Jakarta Utara,Siang,Berawan Tebal,60-95,21-33,15
343,Jakarta Timur,Siang,Berawan,60-95,21-33,23
344,Jakarta Pusat,Pagi,Berawan,60-95,21-33,2
345,Jakarta Utara,Pagi,Berawan Tebal,60-95,21-33,15
346,Jakarta Selatan,Pagi,Berawan,60-95,21-33,25
347,Jakarta Barat,Pagi,Berawan,60-95,21-33,17
348,Kepulauan Seribu,Siang,Hujan Lokal,60-95,21-33,0
349,Kepulauan Seribu,Pagi,Hujan Lokal,60-95,21-33,0
350,Jakarta Pusat,Siang,Berawan Tebal,60-95,21-33,2
351,Jakarta Selatan,Siang,Berawan,60-95,21-33,25
352,Jakarta Barat,Siang,Berawan,60-95,21-33,17
353,Jakarta Timur,Pagi,Berawan,60-95,21-33,23
354,Jakarta Utara,Malam,Hujan Ringan,65-95,25-33,15
355,Jakarta Timur,Dini Hari,Hujan Sedang,65-95,25-33,23
356,Jakarta Barat,Dini Hari,Hujan Sedang,65-95,25-33,17
357,Jakarta Selatan,Dini Hari,Hujan Ringan,65-95,25-33,25
358,Jakarta Utara,Dini Hari,Hujan Ringan,65-95,25-33,15
359,Jakarta Pusat,Dini Hari,Hujan Lokal,65-95,25-33,2
360,Kepulauan Seribu,Malam,Hujan Sedang,65-95,25-33,0
361,Jakarta Timur,Malam,Hujan Ringan,65-95,25-33,23
362,Jakarta Barat,Malam,Hujan Petir,65-95,25-33,17
363,Jakarta Selatan,Malam,Berawan,65-95,25-33,25
364,Kepulauan Seribu,Dini Hari,Hujan Sedang,65-95,25-33,0
365,Jakarta Pusat,Malam,Berawan,65-95,25-33,2
366,Jakarta Timur,Siang,Berawan,65-95,25-33,23
367,Kepulauan Seribu,Siang,Berawan,65-95,25-33,0
368,Jakarta Pusat,Pagi,Hujan Lokal,65-95,25-33,2
369,Jakarta Utara,Pagi,Hujan Lokal,65-95,25-33,15
370,Jakarta Barat,Pagi,Berawan Tebal,65-95,25-33,17
371,Jakarta Timur,Pagi,Berawan Tebal,65-95,25-33,23
372,Jakarta Selatan,Pagi,Hujan Lokal,65-95,25-33,25
373,Jakarta Pusat,Siang,Berawan,65-95,25-33,2
374,Jakarta Utara,Siang,Berawan,65-95,25-33,15
375,Jakarta Selatan,Siang,Berawan,65-95,25-33,25
376,Jakarta Barat,Siang,Berawan,65-95,25-33,17
377,Kepulauan Seribu,Pagi,Berawan Tebal,65-95,25-33,0
378,Kepulauan Seribu,Malam,Hujan Lokal,60-100,22-32,0
379,Jakarta Selatan,Malam,Hujan Lokal,60-100,22-32,25
380,Jakarta Barat,Malam,Hujan Lokal,60-100,22-32,17
381,Jakarta Timur,Malam,Hujan Lokal,60-100,22-32,23
382,Jakarta Pusat,Dini Hari,Hujan Lokal,60-100,22-32,2
383,Jakarta Utara,Malam,Hujan Lokal,60-100,22-32,15
384,Jakarta Selatan,Dini Hari,Hujan Lokal,60-100,22-32,25
385,Jakarta Barat,Dini Hari,Hujan Lokal,60-100,22-32,17
386,Jakarta Timur,Dini Hari,Hujan Lokal,60-100,22-32,23
387,Kepulauan Seribu,Dini Hari,Hujan Lokal,60-100,22-32,0
388,Jakarta Utara,Dini Hari,Hujan Lokal,60-100,22-32,15
389,Jakarta Pusat,Malam,Hujan Lokal,60-100,22-32,2
390,Kepulauan Seribu,Pagi,Hujan Ringan,60-100,22-32,0
391,Jakarta Timur,Siang,Hujan Ringan,60-100,22-32,23
392,Jakarta Utara,Pagi,Hujan Ringan,60-100,22-32,15
393,Jakarta Selatan,Pagi,Hujan Ringan,60-100,22-32,25
394,Jakarta Barat,Pagi,Hujan Sedang,60-100,22-32,17
395,Jakarta Timur,Pagi,Hujan Ringan,60-100,22-32,23
396,Jakarta Pusat,Pagi,Hujan Ringan,60-100,22-32,2
397,Jakarta Pusat,Siang,Hujan Ringan,60-100,22-32,2
398,Jakarta Utara,Siang,Hujan Ringan,60-100,22-32,15
399,Jakarta Selatan,Siang,Hujan Sedang,60-100,22-32,25
400,Jakarta Barat,Siang,Berawan,60-100,22-32,17
401,Kepulauan Seribu,Siang,Hujan Lokal,60-100,22-32,0
402,Jakarta Selatan,Malam,Hujan Lokal,65-100,22-31,25
403,Kepulauan Seribu,Dini Hari,Berawan Tebal,65-100,22-31,0
404,Jakarta Timur,Dini Hari,Berawan Tebal,65-100,22-31,23
405,Jakarta Barat,Dini Hari,Hujan Lokal,65-100,22-31,17
406,Jakarta Selatan,Dini Hari,Hujan Lokal,65-100,22-31,25
